,CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT
0,-0.4280329097137538,0.30812322742715553,-1.3067424260921296,-0.2703945405276723,-0.14706022217724227,0.41846690893027205,-0.12646362408381862,0.15130612509961158,-0.9880056406908772,-0.6707713003411776,-1.452763917515011,0.4443559112651633,-1.096589540936594
1,-0.4255065621747877,-0.4776557645169204,-0.6042384243966898,-0.2703945405276723,-0.750126613051422,0.1935930559723362,0.36589225670219394,0.5770045730412471,-0.8725310538646894,-0.9933622856684057,-0.30581850095939994,0.4443559112651633,-0.4959133156119546
2,-0.4255089693663446,-0.4776557645169204,-0.6042384243966898,-0.2703945405276723,-0.750126613051422,1.309201001815602,-0.2738110044650341,0.5770045730412471,-0.8725310538646894,-0.9933622856684057,-0.30581850095939994,0.3994836280261468,-1.2337631981621728
3,-0.42489754271089214,-0.4776557645169204,-1.325928459751879,-0.2703945405276723,-0.8462676318864356,1.036139894652395,-0.8236683019851795,1.1085088146794688,-0.7570564670385017,-1.1128404283821938,0.10708184900061941,0.4193288638566702,-1.3911519206631
4,-0.4204827533955383,-0.4776557645169204,-1.325928459751879,-0.2703945405276723,-0.8462676318864356,1.2537126484883199,-0.5217858641309819,1.1085088146794688,-0.7570564670385017,-1.1128404283821938,0.10708184900061941,0.4443559112651633,-1.0460518777482228
6,-0.4181670351178009,0.06802409099979903,-0.4861705249520782,-0.2703945405276723,-0.2694215188763512,-0.40363685220815704,-0.07614988444145271,0.8650098848740668,-0.5261072933861263,-0.5811626933058366,-1.498641734177236,0.43002324094311917,-0.020859281641266443
7,-0.41139560526824237,0.06802409099979903,-0.4861705249520782,-0.2703945405276723,-0.2694215188763512,-0.1700016803038078,0.9840324865941216,1.0542954791019057,-0.5261072933861263,-0.5811626933058366,-1.498641734177236,0.4443559112651633,0.9494638515754584
8,-0.40336882502176075,0.06802409099979903,-0.4861705249520782,-0.2703945405276723,-0.2694215188763512,-0.9599806053053872,1.1241921898835705,1.1181672334618638,-0.5261072933861263,-0.5811626933058366,-1.498641734177236,0.3311278157210112,2.5060238777772885
9,-0.4083276396289739,0.06802409099979903,-0.4861705249520782,-0.2703945405276723,-0.2694215188763512,-0.4153186108033745,0.6174609549140252,1.3656945489905765,-0.5261072933861263,-0.5811626933058366,-1.498641734177236,0.3320098262023676,0.6534575386149996
11,-0.41465494263628444,0.06802409099979903,-0.4861705249520782,-0.2703945405276723,-0.2694215188763512,-0.40801751168136247,0.5096457985375261,1.1883485076294167,-0.5261072933861263,-0.5811626933058366,-1.498641734177236,0.4443559112651633,0.10043111001082415
12,-0.4175062610354319,0.06802409099979903,-0.4861705249520782,-0.2703945405276723,-0.2694215188763512,-0.5832438906096243,-1.0680493231052441,0.8118157794192689,-0.5261072933861263,-0.5811626933058366,-1.498641734177236,0.3737950727566363,0.45275081909546855
13,-0.3529959345020802,-0.4776557645169204,-0.44632260888952163,-0.2703945405276723,-0.14706022217724227,-0.49563070114549407,-0.24865413464385114,0.4510083159603568,-0.641581880212314,-0.6050583218485942,1.1622716322317819,0.4443559112651633,-0.6229794401998592
14,-0.3520089859637514,-0.4776557645169204,-0.44632260888952163,-0.2703945405276723,-0.14706022217724227,-0.280978386958373,0.5671472152716587,0.33180692636456904,-0.641581880212314,-0.6050583218485942,1.1622716322317819,0.2582516996989227,-0.33419279340916724
15,-0.3532811867015729,-0.4776557645169204,-0.44632260888952163,-0.2703945405276723,-0.14706022217724227,-0.6635559809517453,-0.439127577575666,0.3496191861290861,-0.641581880212314,-0.6050583218485942,1.1622716322317819,0.4302437435634581,-0.5926568422868363
16,-0.3019430123675757,-0.4776557645169204,-0.44632260888952163,-0.2703945405276723,-0.14706022217724227,-0.5160737786871249,-1.4166516620559244,0.3496191861290861,-0.641581880212314,-0.6050583218485942,1.1622716322317819,0.3335533445447421,-0.8655602235040404
17,-0.3344076012997018,-0.4776557645169204,-0.44632260888952163,-0.2703945405276723,-0.14706022217724227,-0.43576168834500406,0.46651973598692636,0.23279600015308405,-0.641581880212314,-0.6050583218485942,1.1622716322317819,0.3324508314430461,0.30258176276430854
18,-0.33217974551379126,-0.4776557645169204,-0.44632260888952163,-0.2703945405276723,-0.14706022217724227,-1.2155190745757687,-1.1543014482064433,0.008856581751225006,-0.641581880212314,-0.6050583218485942,1.1622716322317819,-0.7453659767747075,-0.1277103409538225
19,-0.3414366006458486,-0.4776557645169204,-0.44632260888952163,-0.2703945405276723,-0.14706022217724227,-0.8197995021627777,0.02807143338916327,0.008856581751225006,-0.641581880212314,-0.6050583218485942,1.1622716322317819,0.378756381714267,-0.18691160354591438
20,-0.2781286662951682,-0.4776557645169204,-0.44632260888952163,-0.2703945405276723,-0.14706022217724227,-1.0490540145939202,1.0559092575117877,0.009536068499735121,-0.641581880212314,-0.6050583218485942,1.1622716322317819,0.22021499769041988,1.2194793663247556
21,-0.32624240753869843,-0.4776557645169204,-0.44632260888952163,-0.2703945405276723,-0.14706022217724227,-0.4722671839550591,0.736057626928174,0.11359461055729589,-0.641581880212314,-0.6050583218485942,1.1622716322317819,0.39617608872105947,0.181291371112218
22,-0.2804540133391332,-0.4776557645169204,-0.44632260888952163,-0.2703945405276723,-0.14706022217724227,-0.21380827503587232,0.8259035905752565,0.09641330277353834,-0.641581880212314,-0.6050583218485942,1.1622716322317819,0.4443559112651633,0.8873747225154597
23,-0.3098265647164218,-0.4776557645169204,-0.44632260888952163,-0.2703945405276723,-0.14706022217724227,-0.6942205972641909,1.1241921898835705,0.1538299330226496,-0.641581880212314,-0.6050583218485942,1.1622716322317819,0.41833660206514434,1.054870977654061
24,-0.33849260537176035,-0.4776557645169204,-0.44632260888952163,-0.2703945405276723,-0.14706022217724227,-0.5321361967555479,0.9121557156764556,0.3015697660558657,-0.641581880212314,-0.6050583218485942,1.1622716322317819,0.41602132455158286,0.5379428798987227
25,-0.3276265426839157,-0.4776557645169204,-0.44632260888952163,-0.2703945405276723,-0.14706022217724227,-1.006707639686257,0.6102732778222585,0.32826388831876596,-0.641581880212314,-0.6050583218485942,1.1622716322317819,-0.5862733362000123,0.5682654778117455
26,-0.3479227782959144,-0.4776557645169204,-0.44632260888952163,-0.2703945405276723,-0.14706022217724227,-0.6942205972641909,0.7755898509328902,0.4386319501839216,-0.641581880212314,-0.6050583218485942,1.1622716322317819,0.22363278830567668,0.3227968280396571
27,-0.3137575085288388,-0.4776557645169204,-0.44632260888952163,-0.2703945405276723,-0.14706022217724227,-0.35252915835408044,0.7216822727446406,0.3276814711057573,-0.641581880212314,-0.6050583218485942,1.1622716322317819,-0.5536389483898186,0.6794483368261619
28,-0.335756832167344,-0.4776557645169204,-0.44632260888952163,-0.2703945405276723,-0.14706022217724227,0.30164932297809743,0.9229372313141059,0.3283124230865166,-0.641581880212314,-0.6050583218485942,1.1622716322317819,0.34557073735322535,0.03256624801501171
29,-0.3081391234350352,-0.4776557645169204,-0.44632260888952163,-0.2703945405276723,-0.14706022217724227,0.5630286715460884,0.6677746945563912,0.2236229290481963,-0.641581880212314,-0.6050583218485942,1.1622716322317819,0.2605669772124842,-0.08583627716917204
30,-0.29268976802285374,-0.4776557645169204,-0.44632260888952163,-0.2703945405276723,-0.14706022217724227,-0.8402425797044086,0.9121557156764556,0.22071084298315252,-0.641581880212314,-0.6050583218485942,1.1622716322317819,0.039402849012319066,1.4476208172894025
31,-0.26574005494758457,-0.4776557645169204,-0.44632260888952163,-0.2703945405276723,-0.14706022217724227,-0.31602366274402544,1.1241921898835705,0.19256067768773036,-0.641581880212314,-0.6050583218485942,1.1622716322317819,0.22197901865313333,0.06722064562989452
32,-0.26173569179268213,-0.4776557645169204,-0.44632260888952163,-0.2703945405276723,-0.14706022217724227,-0.4941704813210914,0.47730125162457615,0.10277135734888378,-0.641581880212314,-0.6050583218485942,1.1622716322317819,-1.3670731148209343,2.18547069983962
