y_test,y_pred,X_extra_test
4.1,3.59,"      index  Reliability chemicalFormula Clean
15    163.0          1.0                 Al2S3
16    176.0          1.0                Al2Se3
21    648.5          1.0                As1Se1
29     26.0          1.0                    B1
34     40.0          1.0                  B2O3
..      ...          ...                   ...
438  1216.0          1.0                  W1S2
440  1223.0          1.0                 W1Te2
456   432.0          1.0                 Zn3P2
461   736.0          1.0                 Zr1S3
465   729.0          1.0                 Zr6O1

[84 rows x 3 columns]"
3.1,1.72,"      index  Reliability chemicalFormula Clean
15    163.0          1.0                 Al2S3
16    176.0          1.0                Al2Se3
21    648.5          1.0                As1Se1
29     26.0          1.0                    B1
34     40.0          1.0                  B2O3
..      ...          ...                   ...
438  1216.0          1.0                  W1S2
440  1223.0          1.0                 W1Te2
456   432.0          1.0                 Zn3P2
461   736.0          1.0                 Zr1S3
465   729.0          1.0                 Zr6O1

[84 rows x 3 columns]"
1.215,1.35,"      index  Reliability chemicalFormula Clean
15    163.0          1.0                 Al2S3
16    176.0          1.0                Al2Se3
21    648.5          1.0                As1Se1
29     26.0          1.0                    B1
34     40.0          1.0                  B2O3
..      ...          ...                   ...
438  1216.0          1.0                  W1S2
440  1223.0          1.0                 W1Te2
456   432.0          1.0                 Zn3P2
461   736.0          1.0                 Zr1S3
465   729.0          1.0                 Zr6O1

[84 rows x 3 columns]"
0.93,4.9,"      index  Reliability chemicalFormula Clean
15    163.0          1.0                 Al2S3
16    176.0          1.0                Al2Se3
21    648.5          1.0                As1Se1
29     26.0          1.0                    B1
34     40.0          1.0                  B2O3
..      ...          ...                   ...
438  1216.0          1.0                  W1S2
440  1223.0          1.0                 W1Te2
456   432.0          1.0                 Zn3P2
461   736.0          1.0                 Zr1S3
465   729.0          1.0                 Zr6O1

[84 rows x 3 columns]"
7.0,10.0,"      index  Reliability chemicalFormula Clean
15    163.0          1.0                 Al2S3
16    176.0          1.0                Al2Se3
21    648.5          1.0                As1Se1
29     26.0          1.0                    B1
34     40.0          1.0                  B2O3
..      ...          ...                   ...
438  1216.0          1.0                  W1S2
440  1223.0          1.0                 W1Te2
456   432.0          1.0                 Zn3P2
461   736.0          1.0                 Zr1S3
465   729.0          1.0                 Zr6O1

[84 rows x 3 columns]"
3.88,6.0,"      index  Reliability chemicalFormula Clean
15    163.0          1.0                 Al2S3
16    176.0          1.0                Al2Se3
21    648.5          1.0                As1Se1
29     26.0          1.0                    B1
34     40.0          1.0                  B2O3
..      ...          ...                   ...
438  1216.0          1.0                  W1S2
440  1223.0          1.0                 W1Te2
456   432.0          1.0                 Zn3P2
461   736.0          1.0                 Zr1S3
465   729.0          1.0                 Zr6O1

[84 rows x 3 columns]"
1.9625,1.5,"      index  Reliability chemicalFormula Clean
15    163.0          1.0                 Al2S3
16    176.0          1.0                Al2Se3
21    648.5          1.0                As1Se1
29     26.0          1.0                    B1
34     40.0          1.0                  B2O3
..      ...          ...                   ...
438  1216.0          1.0                  W1S2
440  1223.0          1.0                 W1Te2
456   432.0          1.0                 Zn3P2
461   736.0          1.0                 Zr1S3
465   729.0          1.0                 Zr6O1

[84 rows x 3 columns]"
0.21,1.07,"      index  Reliability chemicalFormula Clean
15    163.0          1.0                 Al2S3
16    176.0          1.0                Al2Se3
21    648.5          1.0                As1Se1
29     26.0          1.0                    B1
34     40.0          1.0                  B2O3
..      ...          ...                   ...
438  1216.0          1.0                  W1S2
440  1223.0          1.0                 W1Te2
456   432.0          1.0                 Zn3P2
461   736.0          1.0                 Zr1S3
465   729.0          1.0                 Zr6O1

[84 rows x 3 columns]"
0.145,0.3,"      index  Reliability chemicalFormula Clean
15    163.0          1.0                 Al2S3
16    176.0          1.0                Al2Se3
21    648.5          1.0                As1Se1
29     26.0          1.0                    B1
34     40.0          1.0                  B2O3
..      ...          ...                   ...
438  1216.0          1.0                  W1S2
440  1223.0          1.0                 W1Te2
456   432.0          1.0                 Zn3P2
461   736.0          1.0                 Zr1S3
465   729.0          1.0                 Zr6O1

[84 rows x 3 columns]"
3.7,7.95,"      index  Reliability chemicalFormula Clean
15    163.0          1.0                 Al2S3
16    176.0          1.0                Al2Se3
21    648.5          1.0                As1Se1
29     26.0          1.0                    B1
34     40.0          1.0                  B2O3
..      ...          ...                   ...
438  1216.0          1.0                  W1S2
440  1223.0          1.0                 W1Te2
456   432.0          1.0                 Zn3P2
461   736.0          1.0                 Zr1S3
465   729.0          1.0                 Zr6O1

[84 rows x 3 columns]"
2.26,5.15,"      index  Reliability chemicalFormula Clean
15    163.0          1.0                 Al2S3
16    176.0          1.0                Al2Se3
21    648.5          1.0                As1Se1
29     26.0          1.0                    B1
34     40.0          1.0                  B2O3
..      ...          ...                   ...
438  1216.0          1.0                  W1S2
440  1223.0          1.0                 W1Te2
456   432.0          1.0                 Zn3P2
461   736.0          1.0                 Zr1S3
465   729.0          1.0                 Zr6O1

[84 rows x 3 columns]"
