y true,y pred
24.0,26.74991055654348
21.6,21.72102711607405
34.7,33.15403905376782
33.4,32.661646243667654
36.2,32.52570545725625
28.7,25.643694480140933
22.9,21.59760109112759
27.1,17.81637575806608
16.5,17.638511806771074
18.9,17.87162553182173
18.9,21.560566501556085
21.7,18.144808546657035
18.2,21.56773636964218
19.9,22.00829557846574
23.1,23.3490644183972
17.5,19.648761648232583
20.2,21.56773636964218
18.2,21.56773636964218
13.6,17.36169958432954
19.6,21.530701780070675
15.2,17.54385156074632
14.5,17.425073853335387
15.6,17.608043783334278
13.9,17.558602456803666
16.6,19.183359542013164
18.4,21.67134943197483
21.0,23.536316456126706
12.7,17.310737835695658
14.5,21.530701780070675
13.2,17.310737835695658
13.1,17.54385156074632
18.9,21.66128129702767
20.0,21.56773636964218
21.0,22.00829557846574
30.8,27.09605147979448
34.9,32.84575972739657
26.6,27.683498883663237
25.3,23.94163752828731
24.7,23.234195128202582
21.2,21.69114601851308
19.3,21.59760109112759
20.0,21.560566501556085
16.6,17.87162553182173
14.4,17.638511806771074
19.4,17.942580744767127
19.7,21.560566501556085
20.5,21.72102711607405
25.0,25.741322046812225
23.4,22.00829557846574
18.9,19.57225796701386
35.4,32.64412007953212
31.6,28.742717776440585
23.3,23.3490644183972
19.6,21.66128129702767
18.7,21.530701780070675
22.2,23.3490644183972
25.0,24.094715892733976
23.5,26.216822344274377
19.4,21.59760109112759
22.0,22.357517427515678
17.4,21.530701780070675
20.9,22.00829557846574
24.2,23.3490644183972
21.7,21.612887922437206
22.8,23.94163752828731
23.4,23.16524089291608
24.1,23.3490644183972
21.4,21.82686792162705
20.0,21.597617467203158
20.8,21.597617467203158
20.3,21.66128129702767
23.9,24.89307884947097
24.8,23.3490644183972
22.9,23.16524089291608
23.9,21.72102711607405
26.6,24.93932482648247
22.5,21.560566501556085
22.2,22.03817667602672
23.6,30.44917947148589
28.7,31.06770437269873
22.6,22.03817667602672
22.0,22.03817667602672
22.9,22.03817667602672
25.0,23.3490644183972
20.6,21.627482188688564
38.7,43.5202595524091
43.8,44.144936724506
33.2,32.05385505154291
27.5,23.78195676166345
26.5,24.979199151490047
18.6,21.597617467203158
19.3,21.560582877631656
20.1,21.597617467203158
19.5,17.43235377236976
19.5,17.52874598825377
20.4,21.560582877631656
19.8,21.597617467203158
19.4,18.010138224090614
21.7,21.560582877631656
22.8,23.637919412906225
18.8,17.875664331393267
18.7,17.87162553182173
18.5,21.627482188688564
18.3,18.144808546657035
21.2,21.627482188688564
19.2,21.59760109112759
20.4,18.17012839144639
19.3,21.560566501556085
22.0,20.84648976775965
20.3,21.4177269951352
20.5,17.493218791390987
17.3,16.442957298224
18.8,17.194845040351836
21.4,18.56631290960337
15.7,16.333405475227597
16.2,14.764695738298528
18.0,15.358634340733811
14.3,14.6478264142169
19.2,21.560582877631656
19.6,21.597617467203158
23.0,21.597617467203158
18.4,16.70365149140049
15.6,15.63062682506637
17.1,18.641308485104023
13.3,14.51888655147986
17.8,14.706058394940133
14.0,14.40928745948758
14.4,14.30014099912634
13.4,14.107181442797144
15.6,14.107181442797144
11.8,14.107181442797144
13.8,14.107181442797144
15.6,14.543191052084824
14.6,14.107181442797144
17.8,14.107181442797144
21.5,21.46440825773949
19.6,21.434527160178515
15.3,21.471561749750013
19.4,15.09911825478713
17.0,15.181016101821156
15.6,15.360343465426176
13.1,14.65030984861088
41.3,34.71960065060991
24.3,24.64219309912432
27.0,24.951695307541627
50.0,46.29817661737076
50.0,46.89476089554107
50.0,46.98850325143079
22.7,21.59760109112759
25.0,21.6726337414836
50.0,47.2043609532319
23.8,21.59760109112759
23.8,21.627482188688564
22.3,21.627482188688564
17.4,20.048492767560028
19.1,21.59760109112759
23.1,19.73726371307639
23.6,21.72102711607405
22.6,21.69114601851308
29.4,26.59206576811171
23.2,21.59760109112759
24.6,23.3490644183972
29.9,26.685417217862074
37.2,32.34388574580595
39.8,39.61591955501204
37.9,33.248694950277454
32.5,25.401827860701104
26.4,21.560566501556085
29.6,21.590447599117063
50.0,44.83301271270355
29.8,27.09605147979448
34.9,32.4894154350833
37.0,30.71292102612706
30.5,27.489899066848373
36.4,33.29554520835884
31.1,27.95661774615547
29.1,27.09605147979448
50.0,46.3932020196058
33.3,33.066084575158186
30.3,30.387837040727067
34.6,31.773951094713077
34.9,31.912616482932734
32.9,32.93197211322526
24.1,23.234195128202582
42.3,45.08986602948426
48.5,46.32977344817722
50.0,46.3932020196058
24.4,21.627482188688564
22.5,17.87162553182173
24.4,19.73726371307639
20.0,17.579874463412676
21.7,17.87162553182173
19.3,17.579874463412676
28.1,21.72102711607405
23.7,17.638511806771074
25.0,21.72102711607405
23.3,21.560566501556085
28.7,23.65972610499761
21.5,17.87162553182173
23.0,21.627482188688564
26.7,27.91572503135743
21.7,17.630836212046557
27.5,25.58794107840168
30.1,24.75550130100135
44.8,45.470419481340834
50.0,45.27890845317308
37.6,45.56861965025086
31.6,31.487293868777247
31.5,27.75953770800017
31.7,32.92128905325697
41.7,45.26629658121463
48.3,45.50340190206338
29.0,24.23382798063616
25.1,23.65972610499761
31.5,32.512939965895754
23.7,23.3490644183972
23.3,24.383639422298085
22.0,25.542789525606644
20.1,21.59760109112759
22.2,21.627482188688564
17.6,21.56773636964218
18.5,17.84176081033632
24.3,21.691162394588645
20.5,21.597617467203158
24.5,21.691162394588645
26.2,25.18455435343096
24.4,23.9650100949586
24.8,27.336222459849235
29.6,31.06804169537681
42.8,42.50350298075578
21.9,23.3490644183972
20.9,21.69114601851308
44.0,42.69705721586437
33.8,30.44128070990616
43.1,40.49300162640249
48.8,42.75174734355197
31.0,30.240608845988927
36.5,31.29600347233256
22.8,21.80358206099981
30.7,28.522043866950504
50.0,41.49113696076558
20.7,21.560566501556085
21.1,21.560566501556085
25.2,23.3490644183972
24.4,22.526405482307297
35.2,37.84201086071935
32.4,28.71191534844136
32.0,30.106041633430262
29.1,23.40044600805699
35.1,28.45441609904984
45.4,45.82274548700441
35.4,31.23834576000585
46.0,45.3585438327955
50.0,46.17069796116424
32.2,30.342112613811064
22.0,22.03817667602672
20.1,21.590447599117063
23.2,23.302818441385703
22.3,23.16524089291608
28.5,29.980444577153204
37.3,33.13382691725452
27.9,27.09605147979448
23.9,22.03817667602672
21.7,21.59760109112759
28.6,25.0804941367127
20.3,18.144808546657035
22.5,25.802743775915577
29.0,32.110204594962354
24.8,26.792592581275425
22.0,22.843142766866617
26.4,22.14894323036989
33.1,31.932158408217127
36.1,31.655615800595427
28.4,23.776887612644583
33.4,32.006034801765935
22.8,27.09605147979448
20.3,21.59760109112759
16.1,21.560566501556085
22.1,23.398994897218557
19.4,21.59760109112759
21.6,22.357517427515678
23.8,22.843142766866617
16.2,21.59760109112759
17.8,17.812988188463336
19.8,18.144808546657035
23.1,21.627482188688564
21.0,21.590447599117063
23.1,23.3490644183972
20.4,22.512244275262677
18.5,21.56773636964218
25.0,23.398994897218557
24.6,25.70824377591558
23.0,23.398994897218557
22.2,21.530701780070675
19.3,21.59760109112759
22.6,23.234195128202582
19.8,21.72102711607405
17.1,21.59760109112759
19.4,22.357517427515678
22.2,23.94163752828731
21.1,22.357517427515678
19.5,21.612887922437206
18.5,21.56773636964218
20.6,22.00829557846574
19.0,21.612887922437206
18.7,21.66128129702767
32.7,32.05740433454534
16.5,22.216880875477685
31.2,29.242138630769286
17.5,21.56773636964218
17.2,21.530701780070675
23.1,23.446691985068483
24.5,24.91718886157019
26.6,27.702116620091665
22.9,23.49662246388985
