y true,average predicted values,error bar values
24.0,28.727225674807112,0.33084553589088533
21.6,23.581962758799843,0.5609320976208001
34.7,34.12142939028631,0.20333894662806853
33.4,30.16991321194861,0.36313986103835866
36.2,30.963387329338115,0.40877838176412556
28.7,23.763758577872203,0.5137757754604159
22.9,20.9565872343954,0.45808348064201687
27.1,18.18940015300588,0.42440968760582287
16.5,13.63453697105656,0.8267810902780601
18.9,17.537432448529284,0.8189298990432846
18.9,18.750149528597024,0.7417215507675002
21.7,20.246803293002273,0.24132222568899883
20.4,18.8118521216967,0.36513884444310757
19.9,18.770317992235498,0.28272410772507806
23.1,20.099100893231032,0.3514306162355613
20.2,17.77676143430567,0.5398129481207175
18.2,18.04985773795206,0.28248167973214644
13.6,14.547343990277719,0.44214633824446775
19.6,16.823669244035486,0.31612227417262223
15.2,16.039196804481378,0.304965487934751
14.5,14.529647456721095,0.3390743617281487
15.6,15.543403848654279,0.35206040247698855
16.6,15.883517051616781,0.27247952818499277
14.8,16.292924321657107,0.3197622688371386
18.4,18.13335283063583,0.32048001265072484
21.0,20.44006912804824,0.15298053796889416
14.5,16.16467509144689,0.3481144954366552
13.2,13.209436388990934,0.37590352820244444
13.5,14.687646800748585,0.2900032693533482
18.9,21.185188005007582,0.1862408801321882
20.0,21.178935642120035,0.09889995207718089
21.0,21.563266874837137,0.10011614601034367
24.7,22.62256551997087,0.21935638920992284
30.8,29.06439135927466,0.23822767383038349
26.6,27.996735122755172,0.33377299116515124
25.3,22.982580776485573,0.21507243617281482
24.7,23.327447295512336,0.1783730095711528
21.2,22.70663021491152,0.26049836887939637
20.0,20.896678631092826,0.18642034879678265
16.6,18.436959336608787,0.24586006286418302
14.4,13.72368894347205,0.62241705044318
19.4,18.10972516038275,0.36276533890599516
19.7,20.585045002772212,0.13178197412118775
20.5,21.32908114470484,0.2237371388977227
23.4,21.728635164383107,0.22438737919364735
18.9,15.21342702396371,0.09740819028537699
35.4,33.015668044392555,0.5051993576754517
24.7,24.770891751360075,0.6465639336374565
23.3,22.405434359137246,0.16733895527473833
19.6,20.307666242352493,0.13251713132797774
18.7,17.44025691881113,0.12431161106443019
16.0,15.707165847433075,0.3241536986463211
25.0,25.752464646014293,0.3830491343351731
33.0,25.500101143131904,0.39919204540226905
19.4,18.485975208597413,0.36221230479898703
22.0,20.121715006334956,0.14621749371367193
17.4,17.919688364316247,0.132384786756328
24.2,23.800919039650775,0.2060440774191388
22.8,21.112908863499563,0.10771171660439081
24.1,22.466791922237803,0.08803650720473644
21.4,23.21223751516802,0.17528382043987611
20.0,21.292593151861134,0.14017047250469836
20.8,22.266758106466945,0.20471811462584882
20.3,20.52760037819308,0.12515579957439452
28.0,29.827820129489396,0.35560646930031636
23.9,25.10274210013999,0.25518518523124867
24.8,25.186768267307343,0.09193328194254972
22.9,23.179825356110925,0.06975885990196568
23.9,25.3611138480372,0.33311074421902204
26.6,27.803721755374443,0.3890177932677437
22.5,22.29907318985275,0.2517450997811266
23.6,29.772374056910408,0.743527488545958
22.0,24.78473454238275,0.45312950513618255
22.9,25.309785142082273,0.3630160717195715
28.4,27.764491476475975,0.5444739463521844
38.7,38.15751452347534,0.48607250326116236
43.8,39.133021281395145,0.6385917232478489
33.2,35.197539372360424,0.47682899643305854
27.5,23.00971871496477,0.13481602952372074
26.5,24.367715402622043,0.2525356386572634
18.6,13.940511538313373,0.515743764276694
19.3,18.48430821786664,0.283591083174763
20.1,18.795815731198022,0.3244225107060614
19.5,16.420429435120862,0.3899497336817603
19.5,16.281050507596223,0.24330745772506426
20.4,18.738823805906225,0.2512547913223184
19.8,19.345550042370384,0.17466870620179817
19.4,18.048763123523912,0.20599661348977702
21.7,21.069667654934847,0.30579405930237213
22.8,27.667779882710352,0.37306622824906344
18.8,19.361306614760938,0.4275675199079532
18.7,19.39891618995893,0.4980280479696548
18.5,23.94331296708033,0.346509481037962
18.3,20.553813120863772,0.14765019060072573
21.2,23.295268764456353,0.13390335688608726
19.2,22.112954596163828,0.35111077372419713
20.4,21.209526897021195,0.15998906081057399
22.0,19.01511336946521,0.5647296584784133
20.3,19.055346223351066,0.4638032121224867
20.5,18.08421276429269,0.24505188543527923
17.3,15.718832606404444,0.15206231354133656
18.8,17.666434324425957,0.5157621144405758
21.4,18.950208908401653,0.3470987121901295
